mag,rho,eff_rd
19.8,3548133892335.76,6.25
20.0,3548133892335.76,2.5
20.2,3548133892335.76,3.75
20.4,3548133892335.76,3.75
20.6,3548133892335.76,2.5
20.8,3548133892335.76,1.25
21.0,3548133892335.76,5.0
21.2,3548133892335.76,5.0
21.4,3548133892335.76,0.0
21.6,3548133892335.76,0.0
21.8,3548133892335.76,0.0
22.0,3548133892335.76,0.0
22.2,3548133892335.76,0.0
22.4,3548133892335.76,0.0
15.4,125892541179416.62,100.0
15.6,125892541179416.62,97.5
15.8,125892541179416.62,97.5
16.0,125892541179416.62,100.0
16.2,125892541179416.62,100.0
16.4,125892541179416.62,97.5
16.6,125892541179416.62,95.0
16.8,125892541179416.62,96.25
17.0,125892541179416.62,95.0
17.2,125892541179416.62,98.75
17.4,125892541179416.62,96.25
17.6,125892541179416.62,95.0
17.8,125892541179416.62,95.0
18.0,125892541179416.62,83.75
18.2,125892541179416.62,66.25
18.4,125892541179416.62,37.5
18.6,125892541179416.62,22.5
18.8,125892541179416.62,22.5
19.0,125892541179416.62,11.25
19.2,125892541179416.62,15.0
19.4,125892541179416.62,3.75
19.6,125892541179416.62,7.5
19.8,125892541179416.62,5.0
20.0,125892541179416.62,2.5
20.2,125892541179416.62,7.5
20.4,125892541179416.62,1.25
20.6,125892541179416.62,1.25
20.8,125892541179416.62,3.75
21.0,125892541179416.62,0.0
21.2,125892541179416.62,0.0
21.4,125892541179416.62,0.0
21.6,125892541179416.62,0.0
